ESTAB,EMPSZES,NAICS2012,zipcode,year
0,241,71,37216,2013
0,242,71,37216,2013
1,251,71,37216,2013
0,252,71,37216,2013
0,254,71,37216,2013
0,260,71,37216,2013
32,1,72,37216,2013
8,212,72,37216,2013
4,220,72,37216,2013
9,230,72,37216,2013
10,241,72,37216,2013
1,242,72,37216,2013
0,251,72,37216,2013
0,252,72,37216,2013
0,254,72,37216,2013
0,260,72,37216,2013
4,1,71,37217,2013
2,212,71,37217,2013
1,220,71,37217,2013
0,230,71,37217,2013
0,241,71,37217,2013
1,242,71,37217,2013
0,251,71,37217,2013
0,252,71,37217,2013
0,254,71,37217,2013
0,260,71,37217,2013
66,1,72,37217,2013
24,212,72,37217,2013
12,220,72,37217,2013
13,230,72,37217,2013
15,241,72,37217,2013
2,242,72,37217,2013
0,251,72,37217,2013
0,252,72,37217,2013
0,254,72,37217,2013
0,260,72,37217,2013
2,1,71,37218,2013
1,212,71,37218,2013
0,220,71,37218,2013
0,230,71,37218,2013
0,241,71,37218,2013
0,242,71,37218,2013
1,251,71,37218,2013
0,252,71,37218,2013
0,254,71,37218,2013
0,260,71,37218,2013
11,1,72,37218,2013
4,212,72,37218,2013
2,220,72,37218,2013
2,230,72,37218,2013
3,241,72,37218,2013
0,242,72,37218,2013
0,251,72,37218,2013
0,252,72,37218,2013
0,254,72,37218,2013
0,260,72,37218,2013
6,1,71,37219,2013
4,212,71,37219,2013
0,220,71,37219,2013
0,230,71,37219,2013
0,241,71,37219,2013
1,242,71,37219,2013
0,251,71,37219,2013
1,252,71,37219,2013
0,254,71,37219,2013
0,260,71,37219,2013
40,1,72,37219,2013
20,212,72,37219,2013
7,220,72,37219,2013
7,230,72,37219,2013
4,241,72,37219,2013
0,242,72,37219,2013
2,251,72,37219,2013
0,252,72,37219,2013
0,254,72,37219,2013
0,260,72,37219,2013
7,1,71,37220,2013
6,212,71,37220,2013
0,220,71,37220,2013
1,230,71,37220,2013
0,241,71,37220,2013
0,242,71,37220,2013
0,251,71,37220,2013
0,252,71,37220,2013
0,254,71,37220,2013
0,260,71,37220,2013
6,1,72,37220,2013
2,212,72,37220,2013
2,220,72,37220,2013
0,230,72,37220,2013
2,241,72,37220,2013
0,242,72,37220,2013
0,251,72,37220,2013
0,252,72,37220,2013
0,254,72,37220,2013
0,260,72,37220,2013
15,1,71,37221,2013
10,212,71,37221,2013
3,220,71,37221,2013
0,230,71,37221,2013
1,241,71,37221,2013
0,242,71,37221,2013
1,251,71,37221,2013
0,252,71,37221,2013
0,254,71,37221,2013
0,260,71,37221,2013
72,1,72,37221,2013
12,212,72,37221,2013
8,220,72,37221,2013
21,230,72,37221,2013
27,241,72,37221,2013
3,242,72,37221,2013
1,251,72,37221,2013
0,252,72,37221,2013
0,254,72,37221,2013
0,260,72,37221,2013
11,1,71,37201,2014
5,212,71,37201,2014
1,220,71,37201,2014
4,230,71,37201,2014
0,241,71,37201,2014
0,242,71,37201,2014
0,251,71,37201,2014
1,252,71,37201,2014
0,254,71,37201,2014
0,260,71,37201,2014
62,1,72,37201,2014
9,212,72,37201,2014
6,220,72,37201,2014
15,230,72,37201,2014
12,241,72,37201,2014
11,242,72,37201,2014
9,251,72,37201,2014
0,252,72,37201,2014
0,254,72,37201,2014
0,260,72,37201,2014
306,1,71,37203,2014
163,212,71,37203,2014
70,220,71,37203,2014
44,230,71,37203,2014
19,241,71,37203,2014
4,242,71,37203,2014
6,251,71,37203,2014
0,252,71,37203,2014
0,254,71,37203,2014
0,260,71,37203,2014
237,1,72,37203,2014
41,212,72,37203,2014
40,220,72,37203,2014
37,230,72,37203,2014
68,241,72,37203,2014
36,242,72,37203,2014
12,251,72,37203,2014
2,252,72,37203,2014
1,254,72,37203,2014
0,260,72,37203,2014
46,1,71,37204,2014
33,212,71,37204,2014
8,220,71,37204,2014
1,230,71,37204,2014
4,241,71,37204,2014
0,242,71,37204,2014
0,251,71,37204,2014
