ESTAB,EMPSZES,NAICS1997,zipcode
7,1,71,37201]
4,212,71,37201]
1,220,71,37201]
2,230,71,37201]
0,241,71,37201]
0,242,71,37201]
0,251,71,37201]
0,252,71,37201]
0,254,71,37201]
0,260,71,37201]
156,1,71,37203]
89,212,71,37203]
30,220,71,37203]
26,230,71,37203]
5,241,71,37203]
3,242,71,37203]
3,251,71,37203]
0,252,71,37203]
0,254,71,37203]
0,260,71,37203]
28,1,71,37204]
20,212,71,37204]
4,220,71,37204]
3,230,71,37204]
1,241,71,37204]
0,242,71,37204]
0,251,71,37204]
0,252,71,37204]
0,254,71,37204]
0,260,71,37204]
23,1,71,37205]
17,212,71,37205]
0,220,71,37205]
1,230,71,37205]
1,241,71,37205]
2,242,71,37205]
2,251,71,37205]
0,252,71,37205]
0,254,71,37205]
0,260,71,37205]
5,1,71,37207]
2,212,71,37207]
2,220,71,37207]
1,230,71,37207]
0,241,71,37207]
0,242,71,37207]
0,251,71,37207]
0,252,71,37207]
0,254,71,37207]
0,260,71,37207]
11,1,71,37209]
5,212,71,37209]
4,220,71,37209]
2,230,71,37209]
0,241,71,37209]
0,242,71,37209]
0,251,71,37209]
0,252,71,37209]
0,254,71,37209]
0,260,71,37209]
7,1,71,37210]
4,212,71,37210]
1,220,71,37210]
1,230,71,37210]
1,241,71,37210]
0,242,71,37210]
0,251,71,37210]
0,252,71,37210]
0,254,71,37210]
0,260,71,37210]
13,1,71,37211]
5,212,71,37211]
1,220,71,37211]
5,230,71,37211]
1,241,71,37211]
1,242,71,37211]
0,251,71,37211]
0,252,71,37211]
0,254,71,37211]
0,260,71,37211]
149,1,71,37212]
92,212,71,37212]
24,220,71,37212]
23,230,71,37212]
10,241,71,37212]
0,242,71,37212]
0,251,71,37212]
0,252,71,37212]
0,254,71,37212]
0,260,71,37212]
23,1,71,37214]
11,212,71,37214]
5,220,71,37214]
3,230,71,37214]
1,241,71,37214]
2,242,71,37214]
1,251,71,37214]
0,252,71,37214]
0,254,71,37214]
0,260,71,37214]
25,1,71,37215]
15,212,71,37215]
3,220,71,37215]
2,230,71,37215]
4,241,71,37215]
0,242,71,37215]
1,251,71,37215]
0,252,71,37215]
0,254,71,37215]
0,260,71,37215]
2,1,71,37216]
2,212,71,37216]
0,220,71,37216]
0,230,71,37216]
0,241,71,37216]
0,242,71,37216]
0,251,71,37216]
0,252,71,37216]
0,254,71,37216]
0,260,71,37216]
11,1,71,37217]
4,212,71,37217]
2,220,71,37217]
2,230,71,37217]
3,241,71,37217]
0,242,71,37217]
0,251,71,37217]
0,252,71,37217]
0,254,71,37217]
0,260,71,37217]
2,1,71,37218]
2,212,71,37218]
0,220,71,37218]
0,230,71,37218]
0,241,71,37218]
0,242,71,37218]
0,251,71,37218]
0,252,71,37218]
0,254,71,37218]
0,260,71,37218]
2,1,71,37219]
0,212,71,37219]
0,220,71,37219]
1,230,71,37219]
0,241,71,37219]
0,242,71,37219]
1,251,71,37219]
0,252,71,37219]
0,254,71,37219]
0,260,71,37219]
7,1,71,37220]
4,212,71,37220]
0,220,71,37220]
1,230,71,37220]
2,241,71,37220]
0,242,71,37220]
0,251,71,37220]
0,252,71,37220]
0,254,71,37220]
0,260,71,37220]
19,1,71,37221]
14,212,71,37221]
3,220,71,37221]
1,230,71,37221]
1,241,71,37221]
0,242,71,37221]
0,251,71,37221]
0,252,71,37221]
0,254,71,37221]
0,260,71,37221]
38,1,72,37201]
11,212,72,37201]
1,220,72,37201]
9,230,72,37201]
5,241,72,37201]
10,242,72,37201]
2,251,72,37201]
0,252,72,37201]
0,254,72,37201]
0,260,72,37201]
152,1,72,37203]
31,212,72,37203]
21,220,72,37203]
33,230,72,37203]
45,241,72,37203]
18,242,72,37203]
3,251,72,37203]
0,252,72,37203]
1,254,72,37203]
0,260,72,37203]
44,1,72,37204]
9,212,72,37204]
10,220,72,37204]
13,230,72,37204]
9,241,72,37204]
1,242,72,37204]
1,251,72,37204]
0,252,72,37204]
1,254,72,37204]
0,260,72,37204]
47,1,72,37205]
14,212,72,37205]
6,220,72,37205]
11,230,72,37205]
10,241,72,37205]
4,242,72,37205]
2,251,72,37205]
0,252,72,37205]
0,254,72,37205]
0,260,72,37205]
18,1,72,37206]
9,212,72,37206]
1,220,72,37206]
4,230,72,37206]
4,241,72,37206]
0,242,72,37206]
0,251,72,37206]
0,252,72,37206]
0,254,72,37206]
0,260,72,37206]
60,1,72,37207]
18,212,72,37207]
7,220,72,37207]
15,230,72,37207]
19,241,72,37207]
1,242,72,37207]
0,251,72,37207]
0,252,72,37207]
0,254,72,37207]
0,260,72,37207]
22,1,72,37208]
6,212,72,37208]
5,220,72,37208]
7,230,72,37208]
4,241,72,37208]
0,242,72,37208]
0,251,72,37208]
0,252,72,37208]
0,254,72,37208]
0,260,72,37208]
51,1,72,37209]
11,212,72,37209]
5,220,72,37209]
10,230,72,37209]
20,241,72,37209]
4,242,72,37209]
1,251,72,37209]
0,252,72,37209]
0,254,72,37209]
0,260,72,37209]
39,1,72,37210]
16,212,72,37210]
6,220,72,37210]
12,230,72,37210]
4,241,72,37210]
0,242,72,37210]
0,251,72,37210]
1,252,72,37210]
0,254,72,37210]
0,260,72,37210]
113,1,72,37211]
26,212,72,37211]
16,220,72,37211]
29,230,72,37211]
36,241,72,37211]
6,242,72,37211]
0,251,72,37211]
0,252,72,37211]
0,254,72,37211]
0,260,72,37211]
45,1,72,37212]
17,212,72,37212]
6,220,72,37212]
6,230,72,37212]
8,241,72,37212]
6,242,72,37212]
2,251,72,37212]
0,252,72,37212]
0,254,72,37212]
0,260,72,37212]
120,1,72,37214]
17,212,72,37214]
14,220,72,37214]
34,230,72,37214]
36,241,72,37214]
11,242,72,37214]
4,251,72,37214]
2,252,72,37214]
1,254,72,37214]
1,260,72,37214]
64,1,72,37215]
28,212,72,37215]
6,220,72,37215]
10,230,72,37215]
13,241,72,37215]
5,242,72,37215]
2,251,72,37215]
0,252,72,37215]
0,254,72,37215]
0,260,72,37215]
22,1,72,37216]
9,212,72,37216]
0,220,72,37216]
3,230,72,37216]
9,241,72,37216]
1,242,72,37216]
0,251,72,37216]
0,252,72,37216]
0,254,72,37216]
0,260,72,37216]
84,1,72,37217]
32,212,72,37217]
8,220,72,37217]
10,230,72,37217]
28,241,72,37217]
5,242,72,37217]
1,251,72,37217]
0,252,72,37217]
0,254,72,37217]
0,260,72,37217]
10,1,72,37218]
2,212,72,37218]
1,220,72,37218]
5,230,72,37218]
2,241,72,37218]
0,242,72,37218]
0,251,72,37218]
0,252,72,37218]
0,254,72,37218]
0,260,72,37218]
38,1,72,37219]
13,212,72,37219]
13,220,72,37219]
4,230,72,37219]
3,241,72,37219]
1,242,72,37219]
3,251,72,37219]
1,252,72,37219]
0,254,72,37219]
0,260,72,37219]
6,1,72,37220]
1,212,72,37220]
3,220,72,37220]
1,230,72,37220]
1,241,72,37220]
0,242,72,37220]
0,251,72,37220]
0,252,72,37220]
0,254,72,37220]
0,260,72,37220]
46,1,72,37221]
11,212,72,37221]
8,220,72,37221]
11,230,72,37221]
13,241,72,37221]
2,242,72,37221]
1,251,72,37221]
0,252,72,37221]
0,254,72,37221]
0,260,72,37221]
