ESTAB,EMPSZES,zipcode
34,1,37201]
8,212,37201]
5,220,37201]
8,230,37201]
4,241,37201]
8,242,37201]
1,251,37201]
0,252,37201]
0,254,37201]
0,260,37201]
352,1,37203]
141,212,37203]
68,220,37203]
53,230,37203]
57,241,37203]
24,242,37203]
8,251,37203]
1,252,37203]
0,254,37203]
0,260,37203]
71,1,37204]
34,212,37204]
9,220,37204]
11,230,37204]
14,241,37204]
2,242,37204]
1,251,37204]
0,252,37204]
0,254,37204]
0,260,37204]
64,1,37205]
24,212,37205]
6,220,37205]
14,230,37205]
11,241,37205]
5,242,37205]
4,251,37205]
0,252,37205]
0,254,37205]
0,260,37205]
25,1,37206]
12,212,37206]
1,220,37206]
10,230,37206]
2,241,37206]
0,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
63,1,37207]
21,212,37207]
9,220,37207]
16,230,37207]
17,241,37207]
0,242,37207]
0,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
33,1,37208]
18,212,37208]
4,220,37208]
5,230,37208]
5,241,37208]
1,242,37208]
0,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
77,1,37209]
22,212,37209]
14,220,37209]
16,230,37209]
22,241,37209]
2,242,37209]
1,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
58,1,37210]
27,212,37210]
10,220,37210]
8,230,37210]
9,241,37210]
3,242,37210]
1,251,37210]
0,252,37210]
0,254,37210]
0,260,37210]
284,1,37211]
136,212,37211]
49,220,37211]
42,230,37211]
49,241,37211]
8,242,37211]
0,251,37211]
0,252,37211]
0,254,37211]
0,260,37211]
70,1,37212]
28,212,37212]
10,220,37212]
10,230,37212]
8,241,37212]
11,242,37212]
3,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
12,1,37213]
1,212,37213]
2,220,37213]
2,230,37213]
6,241,37213]
1,242,37213]
0,251,37213]
0,252,37213]
0,254,37213]
0,260,37213]
174,1,37214]
43,212,37214]
18,220,37214]
42,230,37214]
44,241,37214]
16,242,37214]
8,251,37214]
2,252,37214]
0,254,37214]
1,260,37214]
58,1,37215]
13,212,37215]
6,220,37215]
13,230,37215]
21,241,37215]
4,242,37215]
1,251,37215]
0,252,37215]
0,254,37215]
0,260,37215]
27,1,37216]
9,212,37216]
1,220,37216]
5,230,37216]
9,241,37216]
3,242,37216]
0,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
85,1,37217]
31,212,37217]
9,220,37217]
18,230,37217]
24,241,37217]
3,242,37217]
0,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
22,1,37218]
9,212,37218]
1,220,37218]
8,230,37218]
2,241,37218]
0,242,37218]
1,251,37218]
1,252,37218]
0,254,37218]
0,260,37218]
44,1,37219]
18,212,37219]
8,220,37219]
8,230,37219]
4,241,37219]
2,242,37219]
4,251,37219]
0,252,37219]
0,254,37219]
0,260,37219]
30,1,37220]
19,212,37220]
7,220,37220]
1,230,37220]
2,241,37220]
1,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
61,1,37221]
13,212,37221]
12,220,37221]
12,230,37221]
21,241,37221]
2,242,37221]
1,251,37221]
0,252,37221]
0,254,37221]
0,260,37221]
0,1,37228]
0,212,37228]
0,220,37228]
0,230,37228]
0,241,37228]
0,242,37228]
0,251,37228]
0,252,37228]
0,254,37228]
0,260,37228]
