ESTAB,EMPSZES,NAICS1997,zipcode
7,1,71,37201]
3,212,71,37201]
3,220,71,37201]
1,230,71,37201]
0,241,71,37201]
0,242,71,37201]
0,251,71,37201]
0,252,71,37201]
0,254,71,37201]
0,260,71,37201]
134,1,71,37203]
66,212,71,37203]
29,220,71,37203]
22,230,71,37203]
10,241,71,37203]
5,242,71,37203]
2,251,71,37203]
0,252,71,37203]
0,254,71,37203]
0,260,71,37203]
31,1,71,37204]
23,212,71,37204]
5,220,71,37204]
2,230,71,37204]
0,241,71,37204]
1,242,71,37204]
0,251,71,37204]
0,252,71,37204]
0,254,71,37204]
0,260,71,37204]
22,1,71,37205]
15,212,71,37205]
0,220,71,37205]
2,230,71,37205]
2,241,71,37205]
1,242,71,37205]
2,251,71,37205]
0,252,71,37205]
0,254,71,37205]
0,260,71,37205]
1,1,71,37206]
1,212,71,37206]
0,220,71,37206]
0,230,71,37206]
0,241,71,37206]
0,242,71,37206]
0,251,71,37206]
0,252,71,37206]
0,254,71,37206]
0,260,71,37206]
7,1,71,37207]
4,212,71,37207]
2,220,71,37207]
1,230,71,37207]
0,241,71,37207]
0,242,71,37207]
0,251,71,37207]
0,252,71,37207]
0,254,71,37207]
0,260,71,37207]
13,1,71,37209]
9,212,71,37209]
3,220,71,37209]
0,230,71,37209]
1,241,71,37209]
0,242,71,37209]
0,251,71,37209]
0,252,71,37209]
0,254,71,37209]
0,260,71,37209]
8,1,71,37210]
4,212,71,37210]
1,220,71,37210]
2,230,71,37210]
1,241,71,37210]
0,242,71,37210]
0,251,71,37210]
0,252,71,37210]
0,254,71,37210]
0,260,71,37210]
17,1,71,37211]
11,212,71,37211]
2,220,71,37211]
2,230,71,37211]
2,241,71,37211]
0,242,71,37211]
0,251,71,37211]
0,252,71,37211]
0,254,71,37211]
0,260,71,37211]
164,1,71,37212]
94,212,71,37212]
35,220,71,37212]
26,230,71,37212]
9,241,71,37212]
0,242,71,37212]
0,251,71,37212]
0,252,71,37212]
0,254,71,37212]
0,260,71,37212]
28,1,71,37214]
15,212,71,37214]
6,220,71,37214]
2,230,71,37214]
0,241,71,37214]
2,242,71,37214]
1,251,71,37214]
1,252,71,37214]
0,254,71,37214]
1,260,71,37214]
22,1,71,37215]
15,212,71,37215]
3,220,71,37215]
0,230,71,37215]
3,241,71,37215]
0,242,71,37215]
1,251,71,37215]
0,252,71,37215]
0,254,71,37215]
0,260,71,37215]
3,1,71,37216]
3,212,71,37216]
0,220,71,37216]
0,230,71,37216]
0,241,71,37216]
0,242,71,37216]
0,251,71,37216]
0,252,71,37216]
0,254,71,37216]
0,260,71,37216]
8,1,71,37217]
4,212,71,37217]
0,220,71,37217]
2,230,71,37217]
2,241,71,37217]
0,242,71,37217]
0,251,71,37217]
0,252,71,37217]
0,254,71,37217]
0,260,71,37217]
4,1,71,37219]
3,212,71,37219]
0,220,71,37219]
0,230,71,37219]
0,241,71,37219]
0,242,71,37219]
1,251,71,37219]
0,252,71,37219]
0,254,71,37219]
0,260,71,37219]
12,1,71,37220]
8,212,71,37220]
1,220,71,37220]
2,230,71,37220]
1,241,71,37220]
0,242,71,37220]
0,251,71,37220]
0,252,71,37220]
0,254,71,37220]
0,260,71,37220]
24,1,71,37221]
16,212,71,37221]
3,220,71,37221]
3,230,71,37221]
1,241,71,37221]
0,242,71,37221]
1,251,71,37221]
0,252,71,37221]
0,254,71,37221]
0,260,71,37221]
46,1,72,37201]
13,212,72,37201]
4,220,72,37201]
10,230,72,37201]
6,241,72,37201]
9,242,72,37201]
4,251,72,37201]
0,252,72,37201]
0,254,72,37201]
0,260,72,37201]
142,1,72,37203]
33,212,72,37203]
19,220,72,37203]
24,230,72,37203]
45,241,72,37203]
17,242,72,37203]
2,251,72,37203]
1,252,72,37203]
1,254,72,37203]
0,260,72,37203]
42,1,72,37204]
9,212,72,37204]
12,220,72,37204]
9,230,72,37204]
9,241,72,37204]
2,242,72,37204]
1,251,72,37204]
0,252,72,37204]
0,254,72,37204]
0,260,72,37204]
51,1,72,37205]
11,212,72,37205]
11,220,72,37205]
10,230,72,37205]
12,241,72,37205]
4,242,72,37205]
2,251,72,37205]
1,252,72,37205]
0,254,72,37205]
0,260,72,37205]
16,1,72,37206]
9,212,72,37206]
1,220,72,37206]
3,230,72,37206]
3,241,72,37206]
0,242,72,37206]
0,251,72,37206]
0,252,72,37206]
0,254,72,37206]
0,260,72,37206]
62,1,72,37207]
19,212,72,37207]
8,220,72,37207]
11,230,72,37207]
24,241,72,37207]
0,242,72,37207]
0,251,72,37207]
0,252,72,37207]
0,254,72,37207]
0,260,72,37207]
20,1,72,37208]
6,212,72,37208]
4,220,72,37208]
5,230,72,37208]
5,241,72,37208]
0,242,72,37208]
0,251,72,37208]
0,252,72,37208]
0,254,72,37208]
0,260,72,37208]
55,1,72,37209]
18,212,72,37209]
5,220,72,37209]
10,230,72,37209]
16,241,72,37209]
5,242,72,37209]
1,251,72,37209]
0,252,72,37209]
0,254,72,37209]
0,260,72,37209]
45,1,72,37210]
15,212,72,37210]
8,220,72,37210]
13,230,72,37210]
7,241,72,37210]
0,242,72,37210]
1,251,72,37210]
1,252,72,37210]
0,254,72,37210]
0,260,72,37210]
128,1,72,37211]
33,212,72,37211]
16,220,72,37211]
28,230,72,37211]
46,241,72,37211]
5,242,72,37211]
0,251,72,37211]
0,252,72,37211]
0,254,72,37211]
0,260,72,37211]
51,1,72,37212]
22,212,72,37212]
4,220,72,37212]
6,230,72,37212]
14,241,72,37212]
4,242,72,37212]
1,251,72,37212]
0,252,72,37212]
0,254,72,37212]
0,260,72,37212]
107,1,72,37214]
11,212,72,37214]
15,220,72,37214]
26,230,72,37214]
36,241,72,37214]
12,242,72,37214]
5,251,72,37214]
1,252,72,37214]
0,254,72,37214]
1,260,72,37214]
54,1,72,37215]
16,212,72,37215]
11,220,72,37215]
6,230,72,37215]
17,241,72,37215]
3,242,72,37215]
1,251,72,37215]
0,252,72,37215]
0,254,72,37215]
0,260,72,37215]
29,1,72,37216]
10,212,72,37216]
6,220,72,37216]
5,230,72,37216]
7,241,72,37216]
1,242,72,37216]
0,251,72,37216]
0,252,72,37216]
0,254,72,37216]
0,260,72,37216]
90,1,72,37217]
33,212,72,37217]
11,220,72,37217]
16,230,72,37217]
23,241,72,37217]
5,242,72,37217]
2,251,72,37217]
0,252,72,37217]
0,254,72,37217]
0,260,72,37217]
14,1,72,37218]
7,212,72,37218]
1,220,72,37218]
3,230,72,37218]
3,241,72,37218]
0,242,72,37218]
0,251,72,37218]
0,252,72,37218]
0,254,72,37218]
0,260,72,37218]
37,1,72,37219]
16,212,72,37219]
6,220,72,37219]
8,230,72,37219]
3,241,72,37219]
1,242,72,37219]
2,251,72,37219]
1,252,72,37219]
0,254,72,37219]
0,260,72,37219]
6,1,72,37220]
1,212,72,37220]
3,220,72,37220]
1,230,72,37220]
0,241,72,37220]
1,242,72,37220]
0,251,72,37220]
0,252,72,37220]
0,254,72,37220]
0,260,72,37220]
47,1,72,37221]
14,212,72,37221]
7,220,72,37221]
11,230,72,37221]
10,241,72,37221]
5,242,72,37221]
0,251,72,37221]
0,252,72,37221]
0,254,72,37221]
0,260,72,37221]
