ESTAB,EMPSZES,zipcode
59,1,37201]
13,212,37201]
10,220,37201]
11,230,37201]
13,241,37201]
6,242,37201]
5,251,37201]
1,252,37201]
0,254,37201]
0,260,37201]
467,1,37203]
197,212,37203]
84,220,37203]
75,230,37203]
68,241,37203]
29,242,37203]
13,251,37203]
1,252,37203]
0,254,37203]
0,260,37203]
101,1,37204]
47,212,37204]
12,220,37204]
18,230,37204]
16,241,37204]
7,242,37204]
1,251,37204]
0,252,37204]
0,254,37204]
0,260,37204]
76,1,37205]
25,212,37205]
16,220,37205]
11,230,37205]
14,241,37205]
7,242,37205]
3,251,37205]
0,252,37205]
0,254,37205]
0,260,37205]
51,1,37206]
21,212,37206]
11,220,37206]
7,230,37206]
12,241,37206]
0,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
61,1,37207]
18,212,37207]
14,220,37207]
18,230,37207]
9,241,37207]
2,242,37207]
0,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
37,1,37208]
19,212,37208]
6,220,37208]
4,230,37208]
6,241,37208]
1,242,37208]
1,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
97,1,37209]
27,212,37209]
11,220,37209]
34,230,37209]
17,241,37209]
6,242,37209]
2,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
45,1,37210]
17,212,37210]
13,220,37210]
6,230,37210]
7,241,37210]
1,242,37210]
1,251,37210]
0,252,37210]
0,254,37210]
0,260,37210]
174,1,37211]
75,212,37211]
22,220,37211]
38,230,37211]
27,241,37211]
10,242,37211]
2,251,37211]
0,252,37211]
0,254,37211]
0,260,37211]
169,1,37212]
93,212,37212]
27,220,37212]
21,230,37212]
18,241,37212]
9,242,37212]
1,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
13,1,37213]
3,212,37213]
1,220,37213]
5,230,37213]
3,241,37213]
0,242,37213]
1,251,37213]
0,252,37213]
0,254,37213]
0,260,37213]
163,1,37214]
38,212,37214]
26,220,37214]
27,230,37214]
49,241,37214]
13,242,37214]
7,251,37214]
2,252,37214]
0,254,37214]
1,260,37214]
93,1,37215]
38,212,37215]
15,220,37215]
11,230,37215]
21,241,37215]
4,242,37215]
4,251,37215]
0,252,37215]
0,254,37215]
0,260,37215]
33,1,37216]
6,212,37216]
3,220,37216]
11,230,37216]
10,241,37216]
1,242,37216]
2,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
69,1,37217]
22,212,37217]
17,220,37217]
12,230,37217]
15,241,37217]
3,242,37217]
0,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
11,1,37218]
5,212,37218]
1,220,37218]
3,230,37218]
1,241,37218]
1,242,37218]
0,251,37218]
0,252,37218]
0,254,37218]
0,260,37218]
42,1,37219]
20,212,37219]
6,220,37219]
6,230,37219]
3,241,37219]
2,242,37219]
4,251,37219]
1,252,37219]
0,254,37219]
0,260,37219]
13,1,37220]
6,212,37220]
4,220,37220]
2,230,37220]
1,241,37220]
0,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
96,1,37221]
37,212,37221]
8,220,37221]
25,230,37221]
21,241,37221]
3,242,37221]
1,251,37221]
1,252,37221]
0,254,37221]
0,260,37221]
17,1,37228]
4,212,37228]
2,220,37228]
6,230,37228]
1,241,37228]
1,242,37228]
3,251,37228]
0,252,37228]
0,254,37228]
0,260,37228]
