ESTAB,EMPSZES,SIC,zipcode
208,1,70,37201]
132,212,70,37201]
38,220,70,37201]
21,230,70,37201]
9,241,70,37201]
4,242,70,37201]
2,251,70,37201]
1,252,70,37201]
1,254,70,37201]
0,260,70,37201]
1255,1,70,37203]
649,212,70,37203]
234,220,70,37203]
172,230,70,37203]
107,241,70,37203]
45,242,70,37203]
34,251,70,37203]
10,252,70,37203]
2,254,70,37203]
2,260,70,37203]
265,1,70,37204]
156,212,70,37204]
48,220,70,37204]
29,230,70,37204]
20,241,70,37204]
8,242,70,37204]
4,251,70,37204]
0,252,70,37204]
0,254,70,37204]
0,260,70,37204]
381,1,70,37205]
234,212,70,37205]
41,220,70,37205]
48,230,70,37205]
35,241,70,37205]
17,242,70,37205]
5,251,70,37205]
0,252,70,37205]
0,254,70,37205]
1,260,70,37205]
145,1,70,37206]
80,212,70,37206]
29,220,70,37206]
23,230,70,37206]
8,241,70,37206]
2,242,70,37206]
3,251,70,37206]
0,252,70,37206]
0,254,70,37206]
0,260,70,37206]
188,1,70,37207]
101,212,70,37207]
40,220,70,37207]
20,230,70,37207]
16,241,70,37207]
7,242,70,37207]
3,251,70,37207]
0,252,70,37207]
1,254,70,37207]
0,260,70,37207]
122,1,70,37208]
73,212,70,37208]
27,220,70,37208]
11,230,70,37208]
6,241,70,37208]
3,242,70,37208]
1,251,70,37208]
0,252,70,37208]
0,254,70,37208]
1,260,70,37208]
232,1,70,37209]
114,212,70,37209]
64,220,70,37209]
28,230,70,37209]
20,241,70,37209]
2,242,70,37209]
2,251,70,37209]
1,252,70,37209]
0,254,70,37209]
1,260,70,37209]
297,1,70,37210]
132,212,70,37210]
68,220,70,37210]
42,230,70,37210]
41,241,70,37210]
6,242,70,37210]
3,251,70,37210]
4,252,70,37210]
1,254,70,37210]
0,260,70,37210]
585,1,70,37211]
280,212,70,37211]
122,220,70,37211]
77,230,70,37211]
72,241,70,37211]
16,242,70,37211]
14,251,70,37211]
2,252,70,37211]
2,254,70,37211]
0,260,70,37211]
618,1,70,37212]
387,212,70,37212]
103,220,70,37212]
70,230,70,37212]
36,241,70,37212]
14,242,70,37212]
4,251,70,37212]
2,252,70,37212]
1,254,70,37212]
1,260,70,37212]
381,1,70,37214]
168,212,70,37214]
70,220,70,37214]
66,230,70,37214]
46,241,70,37214]
14,242,70,37214]
10,251,70,37214]
2,252,70,37214]
2,254,70,37214]
3,260,70,37214]
420,1,70,37215]
264,212,70,37215]
63,220,70,37215]
53,230,70,37215]
25,241,70,37215]
6,242,70,37215]
7,251,70,37215]
1,252,70,37215]
1,254,70,37215]
0,260,70,37215]
99,1,70,37216]
58,212,70,37216]
20,220,70,37216]
11,230,70,37216]
7,241,70,37216]
2,242,70,37216]
1,251,70,37216]
0,252,70,37216]
0,254,70,37216]
0,260,70,37216]
325,1,70,37217]
151,212,70,37217]
54,220,70,37217]
34,230,70,37217]
45,241,70,37217]
20,242,70,37217]
13,251,70,37217]
7,252,70,37217]
1,254,70,37217]
0,260,70,37217]
55,1,70,37218]
34,212,70,37218]
9,220,70,37218]
6,230,70,37218]
1,241,70,37218]
1,242,70,37218]
3,251,70,37218]
0,252,70,37218]
1,254,70,37218]
0,260,70,37218]
214,1,70,37219]
112,212,70,37219]
31,220,70,37219]
24,230,70,37219]
25,241,70,37219]
11,242,70,37219]
10,251,70,37219]
1,252,70,37219]
0,254,70,37219]
0,260,70,37219]
70,1,70,37220]
36,212,70,37220]
16,220,70,37220]
8,230,70,37220]
5,241,70,37220]
3,242,70,37220]
1,251,70,37220]
0,252,70,37220]
1,254,70,37220]
0,260,70,37220]
214,1,70,37221]
154,212,70,37221]
28,220,70,37221]
18,230,70,37221]
9,241,70,37221]
4,242,70,37221]
1,251,70,37221]
0,252,70,37221]
0,254,70,37221]
0,260,70,37221]
