ESTAB,EMPSZES,zipcode
37,1,37201]
12,212,37201]
4,220,37201]
8,230,37201]
3,241,37201]
10,242,37201]
0,251,37201]
0,252,37201]
0,254,37201]
0,260,37201]
328,1,37203]
129,212,37203]
61,220,37203]
52,230,37203]
58,241,37203]
20,242,37203]
7,251,37203]
1,252,37203]
0,254,37203]
0,260,37203]
81,1,37204]
45,212,37204]
11,220,37204]
7,230,37204]
15,241,37204]
1,242,37204]
1,251,37204]
0,252,37204]
0,254,37204]
1,260,37204]
61,1,37205]
23,212,37205]
8,220,37205]
7,230,37205]
14,241,37205]
5,242,37205]
4,251,37205]
0,252,37205]
0,254,37205]
0,260,37205]
17,1,37206]
7,212,37206]
5,220,37206]
2,230,37206]
3,241,37206]
0,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
68,1,37207]
24,212,37207]
10,220,37207]
15,230,37207]
18,241,37207]
1,242,37207]
0,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
21,1,37208]
10,212,37208]
4,220,37208]
3,230,37208]
4,241,37208]
0,242,37208]
0,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
69,1,37209]
18,212,37209]
6,220,37209]
19,230,37209]
22,241,37209]
3,242,37209]
1,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
56,1,37210]
31,212,37210]
10,220,37210]
9,230,37210]
6,241,37210]
0,242,37210]
0,251,37210]
0,252,37210]
0,254,37210]
0,260,37210]
149,1,37211]
37,212,37211]
28,220,37211]
31,230,37211]
46,241,37211]
6,242,37211]
0,251,37211]
1,252,37211]
0,254,37211]
0,260,37211]
195,1,37212]
118,212,37212]
28,220,37212]
24,230,37212]
18,241,37212]
5,242,37212]
2,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
10,1,37213]
2,212,37213]
1,220,37213]
2,230,37213]
4,241,37213]
1,242,37213]
0,251,37213]
0,252,37213]
0,254,37213]
0,260,37213]
168,1,37214]
37,212,37214]
22,220,37214]
41,230,37214]
44,241,37214]
13,242,37214]
9,251,37214]
1,252,37214]
0,254,37214]
1,260,37214]
79,1,37215]
35,212,37215]
6,220,37215]
12,230,37215]
17,241,37215]
7,242,37215]
2,251,37215]
0,252,37215]
0,254,37215]
0,260,37215]
26,1,37216]
13,212,37216]
1,220,37216]
2,230,37216]
8,241,37216]
2,242,37216]
0,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
87,1,37217]
33,212,37217]
8,220,37217]
14,230,37217]
28,241,37217]
4,242,37217]
0,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
16,1,37218]
7,212,37218]
2,220,37218]
5,230,37218]
2,241,37218]
0,242,37218]
0,251,37218]
0,252,37218]
0,254,37218]
0,260,37218]
40,1,37219]
18,212,37219]
4,220,37219]
7,230,37219]
3,241,37219]
3,242,37219]
5,251,37219]
0,252,37219]
0,254,37219]
0,260,37219]
13,1,37220]
7,212,37220]
4,220,37220]
1,230,37220]
1,241,37220]
0,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
79,1,37221]
26,212,37221]
17,220,37221]
15,230,37221]
16,241,37221]
5,242,37221]
0,251,37221]
0,252,37221]
0,254,37221]
0,260,37221]
15,1,37228]
3,212,37228]
4,220,37228]
2,230,37228]
3,241,37228]
3,242,37228]
0,251,37228]
0,252,37228]
0,254,37228]
0,260,37228]
