ESTAB,EMPSZES,zipcode
71,1,37201]
18,212,37201]
8,220,37201]
15,230,37201]
10,241,37201]
11,242,37201]
8,251,37201]
1,252,37201]
0,254,37201]
0,260,37201]
523,1,37203]
207,212,37203]
106,220,37203]
80,230,37203]
79,241,37203]
30,242,37203]
18,251,37203]
3,252,37203]
0,254,37203]
0,260,37203]
122,1,37204]
51,212,37204]
21,220,37204]
19,230,37204]
22,241,37204]
8,242,37204]
1,251,37204]
0,252,37204]
0,254,37204]
0,260,37204]
82,1,37205]
29,212,37205]
9,220,37205]
14,230,37205]
16,241,37205]
7,242,37205]
7,251,37205]
0,252,37205]
0,254,37205]
0,260,37205]
69,1,37206]
26,212,37206]
12,220,37206]
13,230,37206]
17,241,37206]
1,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
57,1,37207]
14,212,37207]
10,220,37207]
22,230,37207]
9,241,37207]
2,242,37207]
0,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
40,1,37208]
16,212,37208]
6,220,37208]
7,230,37208]
9,241,37208]
2,242,37208]
0,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
113,1,37209]
30,212,37209]
20,220,37209]
27,230,37209]
26,241,37209]
9,242,37209]
1,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
47,1,37210]
17,212,37210]
12,220,37210]
8,230,37210]
7,241,37210]
2,242,37210]
1,251,37210]
0,252,37210]
0,254,37210]
0,260,37210]
198,1,37211]
74,212,37211]
31,220,37211]
41,230,37211]
42,241,37211]
7,242,37211]
3,251,37211]
0,252,37211]
0,254,37211]
0,260,37211]
162,1,37212]
90,212,37212]
25,220,37212]
19,230,37212]
18,241,37212]
9,242,37212]
1,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
12,1,37213]
2,212,37213]
0,220,37213]
4,230,37213]
6,241,37213]
0,242,37213]
0,251,37213]
0,252,37213]
0,254,37213]
0,260,37213]
184,1,37214]
42,212,37214]
24,220,37214]
33,230,37214]
57,241,37214]
14,242,37214]
10,251,37214]
3,252,37214]
0,254,37214]
1,260,37214]
111,1,37215]
48,212,37215]
18,220,37215]
17,230,37215]
20,241,37215]
4,242,37215]
3,251,37215]
1,252,37215]
0,254,37215]
0,260,37215]
39,1,37216]
12,212,37216]
6,220,37216]
9,230,37216]
10,241,37216]
1,242,37216]
1,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
70,1,37217]
26,212,37217]
13,220,37217]
13,230,37217]
15,241,37217]
3,242,37217]
0,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
13,1,37218]
5,212,37218]
2,220,37218]
2,230,37218]
3,241,37218]
0,242,37218]
1,251,37218]
0,252,37218]
0,254,37218]
0,260,37218]
46,1,37219]
24,212,37219]
7,220,37219]
7,230,37219]
4,241,37219]
1,242,37219]
2,251,37219]
1,252,37219]
0,254,37219]
0,260,37219]
13,1,37220]
8,212,37220]
2,220,37220]
1,230,37220]
2,241,37220]
0,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
87,1,37221]
22,212,37221]
11,220,37221]
21,230,37221]
28,241,37221]
3,242,37221]
2,251,37221]
0,252,37221]
0,254,37221]
0,260,37221]
18,1,37228]
6,212,37228]
2,220,37228]
5,230,37228]
1,241,37228]
1,242,37228]
3,251,37228]
0,252,37228]
0,254,37228]
0,260,37228]
