ESTAB,EMPSZES,NAICS2002,zipcode
0,252,72,37216]
0,254,72,37216]
0,260,72,37216]
83,1,72,37217]
32,212,72,37217]
7,220,72,37217]
16,230,72,37217]
24,241,72,37217]
4,242,72,37217]
0,251,72,37217]
0,252,72,37217]
0,254,72,37217]
0,260,72,37217]
12,1,72,37218]
4,212,72,37218]
0,220,72,37218]
6,230,72,37218]
2,241,72,37218]
0,242,72,37218]
0,251,72,37218]
0,252,72,37218]
0,254,72,37218]
0,260,72,37218]
36,1,72,37219]
14,212,72,37219]
8,220,72,37219]
5,230,72,37219]
3,241,72,37219]
1,242,72,37219]
5,251,72,37219]
0,252,72,37219]
0,254,72,37219]
0,260,72,37219]
7,1,72,37220]
5,212,72,37220]
1,220,72,37220]
1,230,72,37220]
0,241,72,37220]
0,242,72,37220]
0,251,72,37220]
0,252,72,37220]
0,254,72,37220]
0,260,72,37220]
60,1,72,37221]
13,212,72,37221]
11,220,72,37221]
16,230,72,37221]
18,241,72,37221]
2,242,72,37221]
0,251,72,37221]
0,252,72,37221]
0,254,72,37221]
0,260,72,37221]
