ESTAB,EMPSZES,zipcode
51,1,37201]
13,212,37201]
8,220,37201]
10,230,37201]
7,241,37201]
10,242,37201]
2,251,37201]
1,252,37201]
0,254,37201]
0,260,37201]
444,1,37203]
187,212,37203]
70,220,37203]
81,230,37203]
64,241,37203]
27,242,37203]
13,251,37203]
2,252,37203]
0,254,37203]
0,260,37203]
88,1,37204]
43,212,37204]
5,220,37204]
17,230,37204]
18,241,37204]
3,242,37204]
2,251,37204]
0,252,37204]
0,254,37204]
0,260,37204]
70,1,37205]
22,212,37205]
12,220,37205]
10,230,37205]
14,241,37205]
6,242,37205]
6,251,37205]
0,252,37205]
0,254,37205]
0,260,37205]
43,1,37206]
23,212,37206]
2,220,37206]
9,230,37206]
9,241,37206]
0,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
65,1,37207]
19,212,37207]
14,220,37207]
18,230,37207]
12,241,37207]
1,242,37207]
1,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
34,1,37208]
16,212,37208]
4,220,37208]
9,230,37208]
5,241,37208]
0,242,37208]
0,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
83,1,37209]
23,212,37209]
14,220,37209]
19,230,37209]
20,241,37209]
6,242,37209]
1,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
49,1,37210]
22,212,37210]
6,220,37210]
11,230,37210]
9,241,37210]
0,242,37210]
1,251,37210]
0,252,37210]
0,254,37210]
0,260,37210]
182,1,37211]
74,212,37211]
25,220,37211]
32,230,37211]
40,241,37211]
7,242,37211]
4,251,37211]
0,252,37211]
0,254,37211]
0,260,37211]
177,1,37212]
97,212,37212]
26,220,37212]
28,230,37212]
13,241,37212]
10,242,37212]
3,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
10,1,37213]
0,212,37213]
1,220,37213]
3,230,37213]
5,241,37213]
1,242,37213]
0,251,37213]
0,252,37213]
0,254,37213]
0,260,37213]
167,1,37214]
32,212,37214]
18,220,37214]
39,230,37214]
48,241,37214]
21,242,37214]
8,251,37214]
0,252,37214]
0,254,37214]
1,260,37214]
91,1,37215]
35,212,37215]
18,220,37215]
11,230,37215]
16,241,37215]
7,242,37215]
4,251,37215]
0,252,37215]
0,254,37215]
0,260,37215]
28,1,37216]
9,212,37216]
3,220,37216]
8,230,37216]
6,241,37216]
2,242,37216]
0,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
87,1,37217]
31,212,37217]
10,220,37217]
19,230,37217]
24,241,37217]
3,242,37217]
0,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
13,1,37218]
4,212,37218]
3,220,37218]
5,230,37218]
0,241,37218]
1,242,37218]
0,251,37218]
0,252,37218]
0,254,37218]
0,260,37218]
37,1,37219]
13,212,37219]
8,220,37219]
4,230,37219]
7,241,37219]
0,242,37219]
4,251,37219]
1,252,37219]
0,254,37219]
0,260,37219]
14,1,37220]
8,212,37220]
2,220,37220]
3,230,37220]
0,241,37220]
1,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
82,1,37221]
27,212,37221]
15,220,37221]
17,230,37221]
19,241,37221]
2,242,37221]
2,251,37221]
0,252,37221]
0,254,37221]
0,260,37221]
15,1,37228]
3,212,37228]
2,220,37228]
4,230,37228]
2,241,37228]
1,242,37228]
3,251,37228]
0,252,37228]
0,254,37228]
0,260,37228]
