ESTAB,EMPSZES,zipcode
56,1,37201]
14,212,37201]
7,220,37201]
12,230,37201]
10,241,37201]
9,242,37201]
3,251,37201]
1,252,37201]
0,254,37201]
0,260,37201]
457,1,37203]
186,212,37203]
84,220,37203]
77,230,37203]
67,241,37203]
29,242,37203]
12,251,37203]
2,252,37203]
0,254,37203]
0,260,37203]
91,1,37204]
43,212,37204]
9,220,37204]
16,230,37204]
17,241,37204]
5,242,37204]
1,251,37204]
0,252,37204]
0,254,37204]
0,260,37204]
72,1,37205]
22,212,37205]
14,220,37205]
12,230,37205]
14,241,37205]
5,242,37205]
4,251,37205]
0,252,37205]
0,254,37205]
1,260,37205]
37,1,37206]
16,212,37206]
4,220,37206]
7,230,37206]
10,241,37206]
0,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
66,1,37207]
18,212,37207]
16,220,37207]
18,230,37207]
12,241,37207]
1,242,37207]
1,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
35,1,37208]
14,212,37208]
7,220,37208]
6,230,37208]
8,241,37208]
0,242,37208]
0,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
87,1,37209]
21,212,37209]
14,220,37209]
20,230,37209]
25,241,37209]
5,242,37209]
2,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
49,1,37210]
23,212,37210]
8,220,37210]
9,230,37210]
5,241,37210]
2,242,37210]
2,251,37210]
0,252,37210]
0,254,37210]
0,260,37210]
174,1,37211]
61,212,37211]
31,220,37211]
39,230,37211]
31,241,37211]
8,242,37211]
4,251,37211]
0,252,37211]
0,254,37211]
0,260,37211]
184,1,37212]
107,212,37212]
23,220,37212]
22,230,37212]
13,241,37212]
9,242,37212]
10,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
163,1,37214]
34,212,37214]
18,220,37214]
31,230,37214]
46,241,37214]
21,242,37214]
12,251,37214]
0,252,37214]
0,254,37214]
1,260,37214]
94,1,37215]
38,212,37215]
17,220,37215]
7,230,37215]
21,241,37215]
6,242,37215]
5,251,37215]
0,252,37215]
0,254,37215]
0,260,37215]
31,1,37216]
11,212,37216]
5,220,37216]
7,230,37216]
6,241,37216]
2,242,37216]
0,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
84,1,37217]
30,212,37217]
14,220,37217]
21,230,37217]
15,241,37217]
4,242,37217]
0,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
10,1,37218]
2,212,37218]
2,220,37218]
4,230,37218]
1,241,37218]
1,242,37218]
0,251,37218]
0,252,37218]
0,254,37218]
0,260,37218]
40,1,37219]
17,212,37219]
9,220,37219]
3,230,37219]
5,241,37219]
1,242,37219]
4,251,37219]
1,252,37219]
0,254,37219]
0,260,37219]
14,1,37220]
6,212,37220]
4,220,37220]
2,230,37220]
2,241,37220]
0,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
90,1,37221]
28,212,37221]
13,220,37221]
23,230,37221]
23,241,37221]
1,242,37221]
2,251,37221]
0,252,37221]
0,254,37221]
0,,
